customer_id,city,signup_date,customer_segment
1,Mumbai,2023-03-28,new
2,Bengaluru,2024-07-23,new
3,Hyderabad,2023-11-11,loyal
4,Bengaluru,2024-09-07,new
5,Hyderabad,2022-09-02,loyal
6,Mumbai,2024-03-09,new
7,Bengaluru,2022-08-31,returning
8,Mumbai,2023-09-22,returning
9,Mumbai,2023-04-29,loyal
10,Hyderabad,2022-08-01,loyal
11,Bengaluru,2022-08-11,loyal
12,Bengaluru,2023-08-01,new
13,Bengaluru,2022-12-20,returning
14,Bengaluru,2023-02-26,new
15,Bengaluru,2023-06-30,returning
16,Mumbai,2022-11-12,returning
17,Pune,2024-02-07,loyal
18,Mumbai,2024-05-02,new
19,Bengaluru,2022-10-30,returning
20,Delhi,2023-09-05,loyal
21,Chennai,2023-12-03,loyal
22,Chennai,2023-03-06,returning
23,Hyderabad,2024-11-25,loyal
24,Pune,2024-01-28,loyal
25,Hyderabad,2023-10-09,loyal
26,Delhi,2024-12-17,returning
27,Chennai,2023-03-03,new
28,Chennai,2022-10-24,returning
29,Bengaluru,2023-01-23,new
30,Pune,2024-01-31,loyal
31,Chennai,2023-12-09,returning
32,Bengaluru,2022-11-16,returning
33,Hyderabad,2023-04-10,returning
34,Chennai,2024-03-13,returning
35,Chennai,2023-10-15,loyal
36,Pune,2023-01-12,returning
37,Bengaluru,2023-01-22,new
38,Delhi,2024-02-04,new
39,Bengaluru,2023-12-15,new
40,Mumbai,2023-11-07,loyal
41,Hyderabad,2024-07-11,returning
42,Mumbai,2023-12-07,new
43,Hyderabad,2023-05-15,returning
44,Bengaluru,2024-04-16,returning
45,Bengaluru,2022-10-01,new
46,Hyderabad,2023-06-22,returning
47,Chennai,2024-01-14,new
48,Delhi,2023-10-25,returning
49,Hyderabad,2024-02-27,returning
50,Hyderabad,2023-08-26,returning
51,Mumbai,2023-12-31,loyal
52,Hyderabad,2024-03-05,loyal
53,Bengaluru,2023-11-23,returning
54,Delhi,2023-01-30,loyal
55,Delhi,2023-04-22,loyal
56,Delhi,2024-03-14,new
57,Bengaluru,2022-10-03,returning
58,Bengaluru,2023-04-07,loyal
59,Mumbai,2022-11-08,loyal
60,Hyderabad,2023-03-30,returning
