event_id,session_id,stage,product_id,event_time
1,1,session_start,,2025-06-23 16:56:00
2,1,product_view,1050,2025-06-23 16:57:00
3,1,product_view,1091,2025-06-23 16:58:00
4,1,product_view,1103,2025-06-23 16:59:00
5,1,product_view,1131,2025-06-23 17:00:00
6,1,add_to_cart,1131,2025-06-23 17:01:00
7,1,checkout_start,,2025-06-23 17:02:00
8,1,order_placed,,2025-06-23 17:03:00
9,2,session_start,,2025-05-29 18:49:00
10,2,product_view,1103,2025-05-29 18:50:00
11,3,session_start,,2025-04-04 18:14:00
12,4,session_start,,2025-01-24 18:23:00
13,4,product_view,1005,2025-01-24 18:24:00
14,4,product_view,1030,2025-01-24 18:25:00
15,4,product_view,1052,2025-01-24 18:26:00
16,4,product_view,1118,2025-01-24 18:27:00
17,4,product_view,1023,2025-01-24 18:28:00
18,4,product_view,1143,2025-01-24 18:29:00
19,4,add_to_cart,1005,2025-01-24 18:30:00
20,4,add_to_cart,1023,2025-01-24 18:31:00
21,5,session_start,,2025-01-17 14:23:00
22,5,product_view,1136,2025-01-17 14:24:00
23,5,product_view,1087,2025-01-17 14:25:00
24,5,product_view,1050,2025-01-17 14:26:00
25,5,product_view,1111,2025-01-17 14:27:00
26,5,product_view,1142,2025-01-17 14:28:00
27,5,product_view,1141,2025-01-17 14:29:00
28,5,add_to_cart,1087,2025-01-17 14:30:00
29,5,checkout_start,,2025-01-17 14:31:00
30,5,order_placed,,2025-01-17 14:32:00
31,6,session_start,,2025-02-27 22:25:00
32,6,product_view,1061,2025-02-27 22:26:00
33,6,product_view,1061,2025-02-27 22:27:00
34,6,product_view,1102,2025-02-27 22:28:00
35,6,add_to_cart,1061,2025-02-27 22:29:00
36,6,add_to_cart,1102,2025-02-27 22:30:00
37,6,checkout_start,,2025-02-27 22:31:00
38,6,order_placed,,2025-02-27 22:32:00
39,7,session_start,,2025-05-04 21:30:00
40,7,product_view,1125,2025-05-04 21:31:00
41,7,product_view,1115,2025-05-04 21:32:00
42,7,add_to_cart,1115,2025-05-04 21:33:00
43,8,session_start,,2025-05-27 10:03:00
44,8,product_view,1031,2025-05-27 10:04:00
45,8,product_view,1019,2025-05-27 10:05:00
46,9,session_start,,2025-06-05 21:55:00
47,9,product_view,1045,2025-06-05 21:56:00
48,9,product_view,1102,2025-06-05 21:57:00
49,10,session_start,,2025-02-12 16:59:00
50,10,product_view,1141,2025-02-12 17:00:00
51,10,product_view,1071,2025-02-12 17:01:00
52,10,product_view,1143,2025-02-12 17:02:00
53,10,product_view,1015,2025-02-12 17:03:00
54,10,product_view,1082,2025-02-12 17:04:00
55,10,add_to_cart,1082,2025-02-12 17:05:00
56,10,checkout_start,,2025-02-12 17:06:00
57,10,order_placed,,2025-02-12 17:07:00
58,11,session_start,,2025-05-19 06:57:00
59,11,product_view,1125,2025-05-19 06:58:00
60,11,product_view,1082,2025-05-19 06:59:00
61,11,product_view,1046,2025-05-19 07:00:00
62,11,product_view,1015,2025-05-19 07:01:00
63,11,product_view,1101,2025-05-19 07:02:00
64,11,product_view,1070,2025-05-19 07:03:00
65,11,add_to_cart,1046,2025-05-19 07:04:00
66,11,checkout_start,,2025-05-19 07:05:00
67,11,order_placed,,2025-05-19 07:06:00
68,12,session_start,,2025-03-07 12:00:00
69,12,product_view,1001,2025-03-07 12:01:00
70,12,add_to_cart,1001,2025-03-07 12:02:00
71,12,checkout_start,,2025-03-07 12:03:00
72,12,order_placed,,2025-03-07 12:04:00
73,13,session_start,,2025-05-18 19:36:00
74,13,product_view,1018,2025-05-18 19:37:00
75,13,product_view,1019,2025-05-18 19:38:00
76,13,product_view,1136,2025-05-18 19:39:00
77,13,add_to_cart,1136,2025-05-18 19:40:00
78,13,checkout_start,,2025-05-18 19:41:00
79,13,order_placed,,2025-05-18 19:42:00
80,14,session_start,,2025-02-28 20:50:00
81,14,product_view,1132,2025-02-28 20:51:00
82,14,product_view,1093,2025-02-28 20:52:00
83,15,session_start,,2025-01-02 08:52:00
84,15,product_view,1038,2025-01-02 08:53:00
85,15,product_view,1141,2025-01-02 08:54:00
86,15,product_view,1070,2025-01-02 08:55:00
87,15,product_view,1141,2025-01-02 08:56:00
