order_item_id,order_id,product_id,quantity,item_price,line_amount,item_status
1,1,1131,2,143.0,286.0,fulfilled
2,2,1087,1,341.0,341.0,fulfilled
3,3,1061,1,310.0,310.0,fulfilled
4,3,1102,1,887.0,887.0,fulfilled
5,4,1082,2,130.0,260.0,fulfilled
6,5,1046,1,31.0,31.0,fulfilled
7,6,1001,1,36.0,36.0,fulfilled
8,7,1136,3,393.0,1179.0,fulfilled
9,8,1136,1,393.0,393.0,fulfilled
10,8,1121,1,549.0,549.0,fulfilled
11,9,1013,1,97.0,97.0,rejected_substitution
12,9,1059,2,444.0,888.0,fulfilled
13,9,1056,1,180.0,180.0,fulfilled
14,10,1072,1,76.0,76.0,rejected_substitution
15,10,1001,1,36.0,36.0,fulfilled
16,11,1083,1,265.0,265.0,fulfilled
17,12,1131,1,143.0,143.0,fulfilled
18,12,1015,1,115.0,115.0,fulfilled
19,12,1141,2,664.0,1328.0,rejected_substitution
20,13,1069,1,313.0,313.0,fulfilled
21,14,1146,1,911.0,911.0,fulfilled
22,15,1063,2,165.0,330.0,fulfilled
23,16,1140,1,240.0,240.0,fulfilled
24,16,1045,1,114.0,114.0,fulfilled
25,16,1103,2,220.0,440.0,fulfilled
26,17,1140,1,240.0,240.0,fulfilled
27,17,1072,1,76.0,76.0,fulfilled
28,17,1132,1,296.0,296.0,fulfilled
29,17,1094,1,308.0,308.0,fulfilled
30,18,1108,1,398.0,398.0,fulfilled
31,19,1132,1,296.0,296.0,rejected_substitution
32,19,1057,1,156.0,156.0,fulfilled
33,19,1116,2,486.0,972.0,fulfilled
34,20,1015,2,115.0,230.0,out_of_stock_removed
35,20,1117,2,61.0,122.0,fulfilled
36,21,1075,3,161.0,483.0,fulfilled
37,21,1132,3,296.0,888.0,fulfilled
38,22,1014,1,94.0,94.0,fulfilled
39,22,1085,2,200.0,400.0,fulfilled
40,22,1015,1,115.0,115.0,fulfilled
41,23,1143,2,259.0,518.0,fulfilled
42,23,1128,2,207.0,414.0,fulfilled
43,24,1108,1,398.0,398.0,fulfilled
44,24,1102,1,887.0,887.0,fulfilled
45,24,1096,1,251.0,251.0,fulfilled
46,25,1135,1,1063.0,1063.0,fulfilled
47,25,1072,1,76.0,76.0,fulfilled
48,26,1117,1,61.0,61.0,fulfilled
49,26,1051,1,158.0,158.0,fulfilled
50,26,1056,1,180.0,180.0,fulfilled
51,27,1131,1,143.0,143.0,fulfilled
52,28,1096,1,251.0,251.0,fulfilled
53,28,1063,1,165.0,165.0,fulfilled
54,28,1131,1,143.0,143.0,fulfilled
55,28,1142,1,147.0,147.0,fulfilled
56,28,1001,1,36.0,36.0,fulfilled
57,29,1082,1,130.0,130.0,fulfilled
58,29,1097,1,336.0,336.0,fulfilled
59,29,1015,1,115.0,115.0,fulfilled
60,30,1140,1,240.0,240.0,fulfilled
61,30,1072,1,76.0,76.0,fulfilled
62,30,1114,1,156.0,156.0,fulfilled
63,31,1068,1,270.0,270.0,fulfilled
64,31,1111,1,60.0,60.0,fulfilled
65,32,1117,3,61.0,183.0,fulfilled
66,33,1078,1,265.0,265.0,fulfilled
67,33,1012,2,192.0,384.0,fulfilled
68,33,1019,1,224.0,224.0,fulfilled
69,34,1102,1,887.0,887.0,fulfilled
70,34,1028,3,311.0,933.0,fulfilled
71,34,1041,2,309.0,618.0,fulfilled
72,35,1137,1,532.0,532.0,fulfilled
73,36,1070,1,303.0,303.0,fulfilled
74,36,1068,3,270.0,810.0,fulfilled
75,36,1012,1,192.0,192.0,substituted
76,37,1021,2,232.0,464.0,fulfilled
77,38,1054,1,49.0,49.0,fulfilled
78,38,1068,1,270.0,270.0,rejected_substitution
79,38,1029,1,238.0,238.0,fulfilled
80,39,1046,2,31.0,62.0,fulfilled
81,40,1143,1,259.0,259.0,fulfilled
82,40,1101,1,561.0,561.0,fulfilled
83,41,1141,1,664.0,664.0,fulfilled
84,42,1070,1,303.0,303.0,fulfilled
85,42,1144,1,438.0,438.0,fulfilled
86,43,1028,3,311.0,933.0,fulfilled
87,44,1003,1,127.0,127.0,fulfilled
88,44,1001,2,36.0,72.0,fulfilled
89,44,1136,1,393.0,393.0,fulfilled
90,44,1130,1,379.0,379.0,fulfilled
91,45,1132,2,296.0,592.0,fulfilled
92,46,1141,1,664.0,664.0,fulfilled
93,46,1005,1,155.0,155.0,out_of_stock_removed
94,47,1128,2,207.0,414.0,fulfilled
95,48,1134,1,935.0,935.0,fulfilled
96,49,1019,1,224.0,224.0,fulfilled
97,49,1012,2,192.0,384.0,rejected_substitution
98,49,1038,1,50.0,50.0,fulfilled
99,50,1028,1,311.0,311.0,fulfilled
100,51,1087,1,341.0,341.0,fulfilled
101,52,1050,1,125.0,125.0,fulfilled
102,53,1143,2,259.0,518.0,fulfilled
103,54,1113,2,185.0,370.0,fulfilled
104,54,1074,2,153.0,306.0,fulfilled
105,54,1141,1,664.0,664.0,fulfilled
106,55,1136,1,393.0,393.0,fulfilled
107,56,1078,2,265.0,530.0,rejected_substitution
108,57,1015,2,115.0,230.0,out_of_stock_removed
109,58,1019,1,224.0,224.0,substituted
110,59,1053,3,37.0,111.0,substituted
111,60,1115,2,460.0,920.0,fulfilled
112,61,1143,1,259.0,259.0,fulfilled
113,62,1071,2,423.0,846.0,fulfilled
114,62,1040,1,74.0,74.0,fulfilled
115,62,1022,3,240.0,720.0,fulfilled
116,63,1018,2,177.0,354.0,fulfilled
117,64,1143,1,259.0,259.0,fulfilled
118,65,1050,1,125.0,125.0,fulfilled
119,65,1132,1,296.0,296.0,fulfilled
120,66,1078,1,265.0,265.0,fulfilled
121,66,1082,1,130.0,130.0,fulfilled
122,67,1098,1,599.0,599.0,fulfilled
123,68,1041,1,309.0,309.0,fulfilled
124,69,1080,2,187.0,374.0,fulfilled
125,69,1050,1,125.0,125.0,fulfilled
126,70,1067,2,275.0,550.0,fulfilled
127,71,1042,1,235.0,235.0,fulfilled
128,71,1072,2,76.0,152.0,fulfilled
129,72,1031,1,159.0,159.0,fulfilled
130,73,1091,1,311.0,311.0,fulfilled
131,73,1071,1,423.0,423.0,fulfilled
132,74,1143,1,259.0,259.0,fulfilled
133,74,1015,2,115.0,230.0,fulfilled
134,75,1141,3,664.0,1992.0,fulfilled
135,75,1056,1,180.0,180.0,fulfilled
136,75,1131,1,143.0,143.0,fulfilled
137,76,1123,1,208.0,208.0,fulfilled
138,77,1015,2,115.0,230.0,fulfilled
139,77,1064,3,255.0,765.0,fulfilled
140,78,1015,1,115.0,115.0,fulfilled
141,78,1025,2,175.0,350.0,fulfilled
142,78,1125,2,667.0,1334.0,fulfilled
143,79,1119,1,172.0,172.0,fulfilled
144,80,1082,3,130.0,390.0,substituted
145,80,1005,2,155.0,310.0,fulfilled
146,80,1141,1,664.0,664.0,fulfilled
147,81,1105,1,623.0,623.0,fulfilled
148,82,1128,1,207.0,207.0,fulfilled
149,82,1142,2,147.0,294.0,rejected_substitution
150,82,1063,1,165.0,165.0,fulfilled
151,83,1084,1,45.0,45.0,fulfilled
152,84,1071,2,423.0,846.0,fulfilled
153,85,1128,1,207.0,207.0,fulfilled
154,85,1089,1,154.0,154.0,fulfilled
155,86,1114,1,156.0,156.0,fulfilled
156,87,1130,2,379.0,758.0,fulfilled
157,88,1136,1,393.0,393.0,fulfilled
158,88,1005,2,155.0,310.0,fulfilled
159,89,1061,1,310.0,310.0,fulfilled
160,89,1141,1,664.0,664.0,fulfilled
161,89,1056,1,180.0,180.0,fulfilled
162,90,1127,2,633.0,1266.0,fulfilled
163,90,1029,2,238.0,476.0,substituted
164,90,1118,1,93.0,93.0,fulfilled
165,91,1131,3,143.0,429.0,fulfilled
166,91,1086,3,62.0,186.0,fulfilled
167,92,1098,1,599.0,599.0,substituted
168,92,1035,1,297.0,297.0,fulfilled
169,93,1114,1,156.0,156.0,fulfilled
170,93,1104,1,737.0,737.0,fulfilled
171,94,1086,1,62.0,62.0,fulfilled
172,95,1143,1,259.0,259.0,fulfilled
173,95,1131,1,143.0,143.0,fulfilled
174,96,1013,1,97.0,97.0,fulfilled
175,96,1007,1,108.0,108.0,fulfilled
176,97,1115,2,460.0,920.0,fulfilled
177,97,1038,3,50.0,150.0,rejected_substitution
178,97,1131,1,143.0,143.0,fulfilled
179,98,1105,2,623.0,1246.0,fulfilled
180,99,1003,2,127.0,254.0,fulfilled
181,100,1123,1,208.0,208.0,fulfilled
182,100,1015,2,115.0,230.0,out_of_stock_removed
183,100,1028,1,311.0,311.0,out_of_stock_removed
184,101,1132,3,296.0,888.0,fulfilled
185,101,1063,1,165.0,165.0,fulfilled
186,102,1070,1,303.0,303.0,fulfilled
187,103,1049,2,59.0,118.0,rejected_substitution
188,104,1140,1,240.0,240.0,fulfilled
189,105,1136,1,393.0,393.0,fulfilled
190,105,1085,1,200.0,200.0,fulfilled
191,106,1103,3,220.0,660.0,fulfilled
192,107,1128,2,207.0,414.0,fulfilled
193,108,1138,1,304.0,304.0,fulfilled
194,109,1041,3,309.0,927.0,fulfilled
195,109,1138,1,304.0,304.0,fulfilled
196,109,1049,2,59.0,118.0,substituted
197,110,1128,1,207.0,207.0,fulfilled
198,111,1059,3,444.0,1332.0,fulfilled
199,112,1078,2,265.0,530.0,substituted
200,112,1128,1,207.0,207.0,fulfilled
201,112,1143,1,259.0,259.0,fulfilled
202,112,1019,1,224.0,224.0,fulfilled
203,113,1070,1,303.0,303.0,fulfilled
204,113,1003,1,127.0,127.0,substituted
205,114,1136,1,393.0,393.0,fulfilled
206,114,1034,1,70.0,70.0,fulfilled
207,115,1024,2,236.0,472.0,substituted
208,115,1117,2,61.0,122.0,fulfilled
209,115,1064,1,255.0,255.0,fulfilled
210,116,1046,1,31.0,31.0,fulfilled
211,116,1131,1,143.0,143.0,fulfilled
212,117,1091,1,311.0,311.0,fulfilled
213,117,1005,1,155.0,155.0,fulfilled
214,118,1004,1,36.0,36.0,fulfilled
215,119,1044,1,30.0,30.0,fulfilled
216,119,1128,1,207.0,207.0,fulfilled
217,120,1141,2,664.0,1328.0,fulfilled
218,121,1132,1,296.0,296.0,fulfilled
219,122,1015,1,115.0,115.0,fulfilled
220,122,1040,1,74.0,74.0,fulfilled
221,122,1141,1,664.0,664.0,fulfilled
222,122,1097,1,336.0,336.0,fulfilled
223,123,1015,1,115.0,115.0,fulfilled
224,123,1041,3,309.0,927.0,substituted
225,124,1082,1,130.0,130.0,fulfilled
226,125,1078,1,265.0,265.0,fulfilled
227,125,1024,3,236.0,708.0,fulfilled
228,126,1092,1,327.0,327.0,fulfilled
229,127,1084,3,45.0,135.0,fulfilled
230,128,1046,1,31.0,31.0,fulfilled
231,129,1131,1,143.0,143.0,fulfilled
232,129,1104,1,737.0,737.0,fulfilled
233,130,1038,2,50.0,100.0,fulfilled
234,130,1129,1,649.0,649.0,fulfilled
235,130,1068,2,270.0,540.0,fulfilled
236,130,1120,1,475.0,475.0,fulfilled
237,130,1070,1,303.0,303.0,fulfilled
238,131,1066,1,203.0,203.0,fulfilled
239,132,1141,1,664.0,664.0,fulfilled
240,133,1028,1,311.0,311.0,fulfilled
241,133,1122,1,672.0,672.0,fulfilled
242,134,1142,1,147.0,147.0,fulfilled
243,134,1141,1,664.0,664.0,fulfilled
244,134,1141,1,664.0,664.0,fulfilled
245,134,1069,1,313.0,313.0,fulfilled
246,134,1125,1,667.0,667.0,fulfilled
247,135,1085,1,200.0,200.0,fulfilled
248,136,1015,1,115.0,115.0,fulfilled
249,136,1035,1,297.0,297.0,fulfilled
250,136,1114,1,156.0,156.0,fulfilled
251,137,1034,1,70.0,70.0,fulfilled
252,138,1126,1,376.0,376.0,fulfilled
253,138,1070,1,303.0,303.0,fulfilled
254,139,1143,1,259.0,259.0,fulfilled
255,140,1050,2,125.0,250.0,fulfilled
256,140,1012,1,192.0,192.0,fulfilled
257,141,1015,1,115.0,115.0,out_of_stock_removed
258,142,1136,1,393.0,393.0,fulfilled
259,143,1084,1,45.0,45.0,out_of_stock_removed
260,144,1143,1,259.0,259.0,fulfilled
261,145,1141,1,664.0,664.0,fulfilled
262,146,1145,1,1144.0,1144.0,fulfilled
263,146,1079,1,90.0,90.0,out_of_stock_removed
264,146,1015,1,115.0,115.0,fulfilled
265,147,1141,1,664.0,664.0,fulfilled
266,148,1132,1,296.0,296.0,fulfilled
267,149,1097,1,336.0,336.0,fulfilled
268,149,1057,1,156.0,156.0,fulfilled
269,149,1136,2,393.0,786.0,fulfilled
270,150,1003,1,127.0,127.0,fulfilled
271,151,1073,2,90.0,180.0,fulfilled
272,151,1022,1,240.0,240.0,fulfilled
273,151,1141,1,664.0,664.0,fulfilled
274,151,1055,1,91.0,91.0,fulfilled
275,152,1070,1,303.0,303.0,fulfilled
276,153,1115,1,460.0,460.0,fulfilled
277,154,1129,1,649.0,649.0,fulfilled
278,154,1080,1,187.0,187.0,fulfilled
279,154,1033,1,282.0,282.0,fulfilled
280,155,1062,1,59.0,59.0,fulfilled
281,156,1132,1,296.0,296.0,fulfilled
282,157,1007,3,108.0,324.0,fulfilled
283,157,1094,1,308.0,308.0,fulfilled
284,158,1024,1,236.0,236.0,fulfilled
285,159,1057,2,156.0,312.0,fulfilled
286,159,1050,1,125.0,125.0,fulfilled
287,160,1003,2,127.0,254.0,fulfilled
288,161,1094,1,308.0,308.0,fulfilled
289,161,1118,1,93.0,93.0,fulfilled
290,161,1132,1,296.0,296.0,fulfilled
291,161,1001,1,36.0,36.0,fulfilled
292,162,1075,1,161.0,161.0,fulfilled
293,162,1072,1,76.0,76.0,fulfilled
294,162,1142,3,147.0,441.0,fulfilled
295,163,1121,3,549.0,1647.0,fulfilled
296,163,1113,1,185.0,185.0,fulfilled
297,164,1125,1,667.0,667.0,fulfilled
298,164,1061,1,310.0,310.0,fulfilled
299,164,1061,1,310.0,310.0,fulfilled
300,165,1056,1,180.0,180.0,fulfilled
301,166,1132,1,296.0,296.0,fulfilled
302,167,1078,1,265.0,265.0,fulfilled
303,167,1132,1,296.0,296.0,fulfilled
304,168,1072,2,76.0,152.0,fulfilled
305,169,1003,1,127.0,127.0,fulfilled
306,170,1080,1,187.0,187.0,fulfilled
307,171,1128,2,207.0,414.0,fulfilled
308,172,1136,3,393.0,1179.0,fulfilled
309,172,1055,1,91.0,91.0,fulfilled
310,172,1014,1,94.0,94.0,substituted
311,173,1043,1,80.0,80.0,fulfilled
312,173,1015,3,115.0,345.0,fulfilled
313,173,1135,1,1063.0,1063.0,fulfilled
314,174,1090,1,305.0,305.0,fulfilled
315,174,1068,2,270.0,540.0,fulfilled
316,174,1086,2,62.0,124.0,fulfilled
317,174,1111,1,60.0,60.0,fulfilled
318,175,1017,1,198.0,198.0,fulfilled
319,176,1009,1,169.0,169.0,fulfilled
320,176,1024,1,236.0,236.0,substituted
321,177,1051,1,158.0,158.0,substituted
322,177,1092,1,327.0,327.0,fulfilled
323,178,1050,1,125.0,125.0,fulfilled
324,179,1019,1,224.0,224.0,fulfilled
325,179,1065,2,388.0,776.0,fulfilled
326,180,1024,2,236.0,472.0,fulfilled
327,180,1092,1,327.0,327.0,fulfilled
328,180,1096,3,251.0,753.0,fulfilled
329,181,1007,1,108.0,108.0,substituted
330,181,1082,1,130.0,130.0,fulfilled
331,182,1118,1,93.0,93.0,fulfilled
332,182,1113,2,185.0,370.0,fulfilled
333,182,1128,3,207.0,621.0,fulfilled
334,183,1145,1,1144.0,1144.0,fulfilled
335,183,1023,1,87.0,87.0,fulfilled
336,183,1140,1,240.0,240.0,fulfilled
337,184,1064,1,255.0,255.0,fulfilled
338,184,1069,1,313.0,313.0,fulfilled
339,185,1058,1,84.0,84.0,fulfilled
340,186,1059,1,444.0,444.0,fulfilled
341,186,1072,1,76.0,76.0,fulfilled
342,186,1034,1,70.0,70.0,fulfilled
343,187,1141,1,664.0,664.0,fulfilled
344,187,1013,2,97.0,194.0,fulfilled
345,188,1079,1,90.0,90.0,fulfilled
346,189,1072,1,76.0,76.0,fulfilled
347,189,1019,2,224.0,448.0,fulfilled
