order_id,session_id,customer_id,order_date,order_value,order_status,cancel_reason,cancelled_by,delivered_time
1,1,894,2025-06-23,286.0,delivered,,,2025-06-23 17:31:00
2,5,83,2025-01-17,341.0,delivered,,,2025-01-17 15:07:00
3,6,1059,2025-02-27,1197.0,delivered,,,2025-02-27 23:27:00
4,10,373,2025-02-12,260.0,delivered,,,2025-02-12 17:44:00
5,11,988,2025-05-19,31.0,delivered,,,2025-05-19 07:42:00
6,12,581,2025-03-07,36.0,delivered,,,2025-03-07 12:49:00
7,13,873,2025-05-18,1179.0,delivered,,,2025-05-18 20:58:00
8,16,118,2025-06-13,942.0,delivered,,,2025-06-13 22:15:00
9,19,1052,2025-05-28,1068.0,delivered,,,2025-05-28 15:52:00
10,23,1009,2025-05-19,36.0,cancelled,payment_failed,system,
11,26,924,2025-05-28,265.0,delivered,,,2025-05-28 15:04:00
12,40,374,2025-04-27,258.0,cancelled,substitute_rejected,customer,
13,41,300,2025-01-19,313.0,delivered,,,2025-01-20 00:28:00
14,43,1126,2025-06-13,911.0,delivered,,,2025-06-13 15:57:00
15,45,123,2025-06-29,330.0,delivered,,,2025-06-30 01:00:00
16,46,1112,2025-02-17,794.0,delivered,,,2025-02-18 00:05:00
17,47,1104,2025-06-24,920.0,cancelled,items_unavailable,seller,
18,48,1007,2025-04-30,398.0,delivered,,,2025-04-30 08:20:00
19,49,1078,2025-02-15,1128.0,cancelled,substitute_rejected,customer,
20,50,769,2025-03-07,122.0,delivered,,,2025-03-07 18:21:00
21,59,402,2025-05-15,1371.0,delivered,,,2025-05-15 13:54:00
22,60,479,2025-01-22,609.0,delivered,,,2025-01-22 10:28:00
23,68,270,2025-05-19,932.0,delivered,,,2025-05-19 14:27:00
24,69,561,2025-02-03,1536.0,delivered,,,2025-02-03 12:11:00
25,70,846,2025-02-21,1139.0,delivered,,,2025-02-21 12:42:00
26,74,333,2025-01-14,399.0,delivered,,,2025-01-14 19:54:00
27,75,502,2025-06-10,143.0,delivered,,,2025-06-11 01:04:00
28,76,180,2025-02-15,742.0,delivered,,,2025-02-15 12:33:00
29,81,944,2025-03-27,581.0,delivered,,,2025-03-27 22:06:00
30,86,640,2025-06-13,472.0,delivered,,,2025-06-13 13:25:00
31,89,1163,2025-06-28,330.0,delivered,,,2025-06-28 21:26:00
32,96,1190,2025-01-01,183.0,delivered,,,2025-01-01 12:21:00
33,98,736,2025-01-08,873.0,delivered,,,2025-01-08 15:04:00
34,99,895,2025-02-05,2438.0,delivered,,,2025-02-05 20:42:00
35,104,517,2025-03-07,532.0,delivered,,,2025-03-07 07:22:00
36,113,411,2025-05-06,1305.0,delivered,,,2025-05-06 10:46:00
37,114,980,2025-01-18,464.0,delivered,,,2025-01-18 23:54:00
38,116,997,2025-02-18,287.0,delivered,,,2025-02-18 11:41:00
39,119,437,2025-03-27,62.0,cancelled,items_unavailable,seller,
