session_id,customer_id,session_date,channel,device
1,894,2025-06-23,organic,mobile_app
2,1039,2025-05-29,email,mobile_web
3,1106,2025-04-04,paid_ads,mobile_web
4,596,2025-01-24,organic,mobile_app
5,83,2025-01-17,organic,mobile_app
6,1059,2025-02-27,organic,desktop
7,850,2025-05-04,social,mobile_web
8,276,2025-05-27,email,mobile_app
9,581,2025-06-05,direct,mobile_app
10,373,2025-02-12,email,mobile_app
11,988,2025-05-19,email,desktop
12,581,2025-03-07,email,mobile_app
13,873,2025-05-18,email,mobile_app
14,283,2025-02-28,direct,mobile_web
15,107,2025-01-02,organic,desktop
16,118,2025-06-13,direct,desktop
17,1126,2025-05-30,paid_ads,desktop
18,567,2025-04-27,organic,desktop
19,1052,2025-05-28,direct,desktop
20,509,2025-03-29,paid_ads,mobile_app
21,976,2025-05-27,paid_ads,mobile_app
22,390,2025-03-03,paid_ads,mobile_app
23,1009,2025-05-19,email,mobile_web
24,943,2025-06-22,paid_ads,mobile_app
25,667,2025-02-17,paid_ads,desktop
26,924,2025-05-28,organic,mobile_app
27,997,2025-05-26,paid_ads,mobile_web
28,922,2025-04-03,social,mobile_app
29,528,2025-03-31,paid_ads,mobile_app
30,1103,2025-04-01,organic,mobile_web
31,163,2025-03-23,organic,mobile_app
32,164,2025-01-25,organic,mobile_app
33,1124,2025-05-15,organic,mobile_web
34,908,2025-02-13,email,mobile_app
35,1105,2025-06-11,organic,mobile_web
36,705,2025-06-26,paid_ads,mobile_app
37,474,2025-02-18,social,mobile_app
38,809,2025-06-15,organic,mobile_web
39,557,2025-03-10,paid_ads,mobile_web
40,374,2025-04-27,organic,mobile_app
41,300,2025-01-19,organic,mobile_web
42,969,2025-03-24,paid_ads,desktop
43,1126,2025-06-13,paid_ads,mobile_app
44,811,2025-01-11,social,mobile_app
45,123,2025-06-29,organic,mobile_web
46,1112,2025-02-17,social,mobile_app
47,1104,2025-06-24,social,mobile_app
48,1007,2025-04-30,direct,desktop
49,1078,2025-02-15,email,mobile_web
50,769,2025-03-07,social,desktop
51,194,2025-02-05,organic,mobile_app
52,512,2025-01-24,organic,mobile_web
53,159,2025-02-14,social,mobile_web
54,1181,2025-06-14,social,mobile_app
55,1181,2025-03-27,paid_ads,mobile_web
56,854,2025-02-28,direct,mobile_app
57,913,2025-01-24,social,mobile_web
58,268,2025-02-20,social,mobile_app
59,402,2025-05-15,email,desktop
60,479,2025-01-22,organic,mobile_app
61,524,2025-06-28,organic,mobile_app
62,738,2025-06-16,direct,mobile_app
63,1042,2025-03-22,direct,mobile_app
64,938,2025-01-11,email,mobile_web
65,1027,2025-03-07,organic,mobile_app
66,61,2025-02-27,direct,desktop
67,282,2025-06-23,organic,mobile_app
68,270,2025-05-19,organic,mobile_app
69,561,2025-02-03,organic,mobile_app
70,846,2025-02-21,organic,mobile_web
71,1067,2025-01-11,organic,mobile_app
72,292,2025-01-24,paid_ads,mobile_web
73,336,2025-01-30,social,mobile_app
74,333,2025-01-14,direct,mobile_app
75,502,2025-06-10,direct,mobile_app
76,180,2025-02-15,organic,mobile_app
77,991,2025-03-15,social,mobile_web
78,532,2025-04-01,paid_ads,desktop
79,425,2025-04-16,social,desktop
80,360,2025-06-22,organic,desktop
