substitution_id,order_id,order_item_id,original_product_id,substitute_product_id,price_difference,is_accepted
1,9,11,1013,1011,124.0,0
2,10,14,1072,1071,347.0,0
3,12,19,1141,1135,399.0,0
4,19,31,1132,1130,83.0,0
5,36,75,1012,1002,-6.0,1
6,38,78,1068,1060,-59.0,0
7,49,97,1012,1009,-23.0,0
8,56,107,1078,1083,0.0,0
9,58,109,1019,1023,-137.0,1
10,59,110,1053,1058,47.0,1
11,80,144,1082,1081,-93.0,1
12,82,149,1142,1130,232.0,0
13,90,163,1029,1030,-24.0,1
14,92,167,1098,1097,-263.0,1
15,97,177,1038,1030,164.0,0
16,103,187,1049,1045,55.0,0
17,109,196,1049,1047,43.0,1
18,112,199,1078,1079,-175.0,1
19,113,204,1003,1023,-40.0,1
20,115,207,1024,1021,-4.0,1
21,123,224,1041,1028,2.0,1
22,172,310,1014,1001,-58.0,1
23,176,320,1024,1003,-109.0,1
24,177,321,1051,1045,-44.0,1
25,181,329,1007,1021,124.0,1
26,191,350,1128,1122,465.0,0
27,198,363,1023,1007,21.0,1
28,213,386,1143,1146,652.0,1
29,216,394,1042,1040,-161.0,1
30,220,402,1141,1138,-360.0,1
31,226,413,1143,1131,-116.0,0
32,241,444,1042,1028,76.0,1
33,241,445,1027,1041,265.0,1
34,248,454,1068,1061,40.0,1
35,253,462,1078,1082,-135.0,0
36,254,464,1033,1035,15.0,0
37,255,465,1025,1035,122.0,1
38,260,473,1016,1015,-64.0,1
39,263,480,1142,1144,291.0,0
40,266,484,1145,1143,-885.0,0
41,281,514,1136,1133,193.0,0
42,291,533,1019,1015,-109.0,1
43,306,566,1038,1040,24.0,1
44,310,574,1141,1135,399.0,0
45,311,575,1019,1005,-69.0,1
46,314,582,1019,1015,-109.0,1
47,322,594,1143,1146,652.0,1
48,323,595,1074,1068,117.0,0
49,330,612,1032,1026,37.0,1
50,334,621,1069,1059,131.0,0
51,343,638,1050,1044,-95.0,1
52,345,642,1003,1008,-76.0,1
53,347,648,1003,1017,71.0,0
54,353,662,1044,1049,29.0,0
55,353,663,1030,1040,-140.0,1
56,353,665,1024,1002,-50.0,0
57,380,710,1036,1025,117.0,1
58,382,715,1143,1139,-176.0,1
59,385,723,1044,1057,126.0,0
60,395,746,1007,1012,84.0,1
61,402,757,1086,1082,68.0,0
62,413,774,1061,1070,-7.0,0
63,414,776,1057,1053,-119.0,1
64,417,781,1029,1030,-24.0,1
65,430,805,1059,1069,-131.0,0
66,432,815,1054,1058,35.0,1
67,435,818,1019,1023,-137.0,1
68,438,822,1013,1019,127.0,0
69,442,829,1096,1111,-191.0,1
70,450,845,1086,1094,246.0,0
71,452,848,1086,1080,125.0,0
72,457,853,1024,1004,-200.0,1
73,460,858,1132,1144,142.0,1
74,467,872,1011,1023,-134.0,1
